review_id,text,business_category,aspect,sentiment,star_rating
5696,ان الدكتور خالد من الاطباء المتميزين الذين قمت بزيارتهم. يتميز عمله بالدقة العالية، ويلاحظ اهتمامه الفائق بمعايير التعقيم. ان كفاءته واخلاصه في العمل لا يضاهيهما شيء، والفرق في جودة الخدمة واضح تماما. لقد لفت انتباهي بشكل خاص اهتمامه بتقديم شرح مفصل وتوضيح للاجراءات التي يقوم بها قبل وبعد كل خطوة، بالاضافة الي تفسيره الوافي لكل التفاصيل. لم اجد من قبل طبيب يولي هذا القدر من الاهتمام ويخصص الوقت الكافي للمراجعين بهذه الطريقة الاحترافية علاوة علي ذلك، تتميز العيادة بتصميمها الجمالي الذي يعكس ذوقا رفيعا، حيث تذكرنا كل تفصيلة فيها باللحظات الجميلة، بدءا من التصميم العام والثريات، وصولا للموسيقي الهادئة والجميلة التي يحرص الدكتور خالد علي تشغيلها دائما كما اتقدم بخالص الشكر والتقدير للدكتور خالد,عِيادة أسنان,ambiance,positive,5
8800,ان هذا البرنامج ممتاز جدا واشكر كل من ساهم باعداد هذا البرنامج الجميل,entertainment,general,positive,5
5323,خدمه ممتازه,صيدلية,general,positive,5
5984,لااسف ولايستاهل نجمه خدمات سيئه ولايوجد دكتور اطفال ساعه 10ليل ابني تعبان حرارته 40ومافي دكتور ليش تكدبو ع الناس وكاتبين خدمات 24ساعه,مركز طبي,general,negative,1
9610,اخر تحديث اذا وضعت الوجهه يقوم التطبيق بتغيير وجهة الوصول بغير ماتم ضبطه من الاول انتبهو,travel,app_experience,negative,1
8914,التطبيق ما يشغل الاغاني القديمة,entertainment,app_experience,negative,1
9630,تطبيق ممتاز ومعامله ممتازه بارك الله فيكم والاستاذ هشام جزاه الله خير الجزاء,travel,app_experience,positive,5
6624,الموظفين سئء خدمه,transport,service,negative,2
6515,لا يتم اخذ الشكوي بعين الاعتبار ويتم الاعتماد علي السائق حتي لو اخذ مبلغ اجره اضافي اكثر من اجره التطبيق وادخل الي البرنامج مبلغ اخر وبعد تقديم شكوي قالوا ايمكن اعاده المبلغ الاضافي لايوجد مصداقيه,transport,food,negative,1
6515,لا يتم اخذ الشكوي بعين الاعتبار ويتم الاعتماد علي السائق حتي لو اخذ مبلغ اجره اضافي اكثر من اجره التطبيق وادخل الي البرنامج مبلغ اخر وبعد تقديم شكوي قالوا ايمكن اعاده المبلغ الاضافي لايوجد مصداقيه,transport,app_experience,negative,1
4515,نوعا ما جيد,مطعم,general,positive,4
915,مطعم محترم والخدمه محترمه جدا والاكل كويس والاسعار مابقتش تفرق كتير,مطعم,food,positive,4
915,مطعم محترم والخدمه محترمه جدا والاكل كويس والاسعار مابقتش تفرق كتير,مطعم,service,positive,4
915,مطعم محترم والخدمه محترمه جدا والاكل كويس والاسعار مابقتش تفرق كتير,مطعم,price,positive,4
832,"We truly appreciate this restaurant and have enjoyed dining here many times. However, the quality has not been consistent. On several visits, the food did not seem freshly prepared and the salad was not as fresh as expected. The service also varies compared to our first experience, which was much better. As foreigners, we sometimes felt overlooked, which was disappointing. We sincerely hope the management can improve consistency in both food and service, because this place has great potential. نحن نحب هذا المطعم وقد تناولنا الطعام فيه مرات عديدة، لكن للاسف الجودة ليست ثابتة. في بعض الزيارات، لم يكن الطعام يبدو طازجا كما ينبغي، والسلطة لم تكن طازجة ايضا. كما ان الخدمة تختلف عن تجربتنا الاولي التي كانت افضل بكثير. واحيانا شعرنا كاجانب باننا غير مقدرين، وهذا كان محبطا. نامل بصدق ان يعمل الادارة علي تحسين ثبات الجودة في الطعام والخدمة، لان هذا المكان لديه امكانات رائعة.",مطعم مأكولات الشرق الأوسط,food,negative,1
832,"We truly appreciate this restaurant and have enjoyed dining here many times. However, the quality has not been consistent. On several visits, the food did not seem freshly prepared and the salad was not as fresh as expected. The service also varies compared to our first experience, which was much better. As foreigners, we sometimes felt overlooked, which was disappointing. We sincerely hope the management can improve consistency in both food and service, because this place has great potential. نحن نحب هذا المطعم وقد تناولنا الطعام فيه مرات عديدة، لكن للاسف الجودة ليست ثابتة. في بعض الزيارات، لم يكن الطعام يبدو طازجا كما ينبغي، والسلطة لم تكن طازجة ايضا. كما ان الخدمة تختلف عن تجربتنا الاولي التي كانت افضل بكثير. واحيانا شعرنا كاجانب باننا غير مقدرين، وهذا كان محبطا. نامل بصدق ان يعمل الادارة علي تحسين ثبات الجودة في الطعام والخدمة، لان هذا المكان لديه امكانات رائعة.",مطعم مأكولات الشرق الأوسط,service,negative,1
832,"We truly appreciate this restaurant and have enjoyed dining here many times. However, the quality has not been consistent. On several visits, the food did not seem freshly prepared and the salad was not as fresh as expected. The service also varies compared to our first experience, which was much better. As foreigners, we sometimes felt overlooked, which was disappointing. We sincerely hope the management can improve consistency in both food and service, because this place has great potential. نحن نحب هذا المطعم وقد تناولنا الطعام فيه مرات عديدة، لكن للاسف الجودة ليست ثابتة. في بعض الزيارات، لم يكن الطعام يبدو طازجا كما ينبغي، والسلطة لم تكن طازجة ايضا. كما ان الخدمة تختلف عن تجربتنا الاولي التي كانت افضل بكثير. واحيانا شعرنا كاجانب باننا غير مقدرين، وهذا كان محبطا. نامل بصدق ان يعمل الادارة علي تحسين ثبات الجودة في الطعام والخدمة، لان هذا المكان لديه امكانات رائعة.",مطعم مأكولات الشرق الأوسط,ambiance,negative,1
6560,متعبه جدا من خلال خدمة العملاء,transport,service,negative,1
6745,لي ساعه ونص انتظر قبول مشوار و حاولت اتواصل مع الدعم ولا احد يرد و تقييم تجربتي للتطبيق زفت و سيء يعني حتي رقم تواصل مافي ايش القرف ذا,transport,app_experience,negative,1
9783,اسوا تطبيق واسوا تجربة تطبيق فاشل ويضع مصلحة اصحاب الشركات اعلي من مصلحة العملاء وسوف احذفه ولن اتعامل به ابدا وفيه بدائله مميزة وكثيرة وافضل في الخدمة والاسعار وجربوهم تجربتي مع بوكينج غير جيدة ولا فيها انصاف ولا حيادية,travel,service,negative,1
9783,اسوا تطبيق واسوا تجربة تطبيق فاشل ويضع مصلحة اصحاب الشركات اعلي من مصلحة العملاء وسوف احذفه ولن اتعامل به ابدا وفيه بدائله مميزة وكثيرة وافضل في الخدمة والاسعار وجربوهم تجربتي مع بوكينج غير جيدة ولا فيها انصاف ولا حيادية,travel,price,negative,1
9783,اسوا تطبيق واسوا تجربة تطبيق فاشل ويضع مصلحة اصحاب الشركات اعلي من مصلحة العملاء وسوف احذفه ولن اتعامل به ابدا وفيه بدائله مميزة وكثيرة وافضل في الخدمة والاسعار وجربوهم تجربتي مع بوكينج غير جيدة ولا فيها انصاف ولا حيادية,travel,app_experience,negative,1
7386,حلو,ecommerce,food,positive,5
3340,اول تجربة وغالبا الاخيرة، طلبت دليفري جالي بعد ، اكتر من ساعتين، وكنت عايز اكنسل الاورد،لكن رقمهم مبيردش خالص تاني، والاوردر حرفيا جالي وانا كنت نازل خلاص مالبيت، خدته وكلته تاني يوم، تجربة سيئة جدا,مطعم بيتزا,delivery,negative,2
638,مطعم فطور غداء عشاء تم تجربة الفطور + طريقة تقديم وطبخ مختلفة تستاهل التجربة. + تنوع كبير في الاصناف - لا توجد مواقف جودة الاكل 10/09 لذة الاكل 10/10 النظافة 10/10 الجلسة 10/10 الخدمة 10/10 السعر $$$/$$$$$ مقولة جدا,مطعم,food,positive,5
638,مطعم فطور غداء عشاء تم تجربة الفطور + طريقة تقديم وطبخ مختلفة تستاهل التجربة. + تنوع كبير في الاصناف - لا توجد مواقف جودة الاكل 10/09 لذة الاكل 10/10 النظافة 10/10 الجلسة 10/10 الخدمة 10/10 السعر $$$/$$$$$ مقولة جدا,مطعم,service,positive,5
638,مطعم فطور غداء عشاء تم تجربة الفطور + طريقة تقديم وطبخ مختلفة تستاهل التجربة. + تنوع كبير في الاصناف - لا توجد مواقف جودة الاكل 10/09 لذة الاكل 10/10 النظافة 10/10 الجلسة 10/10 الخدمة 10/10 السعر $$$/$$$$$ مقولة جدا,مطعم,price,positive,5
638,مطعم فطور غداء عشاء تم تجربة الفطور + طريقة تقديم وطبخ مختلفة تستاهل التجربة. + تنوع كبير في الاصناف - لا توجد مواقف جودة الاكل 10/09 لذة الاكل 10/10 النظافة 10/10 الجلسة 10/10 الخدمة 10/10 السعر $$$/$$$$$ مقولة جدا,مطعم,cleanliness,positive,5
638,مطعم فطور غداء عشاء تم تجربة الفطور + طريقة تقديم وطبخ مختلفة تستاهل التجربة. + تنوع كبير في الاصناف - لا توجد مواقف جودة الاكل 10/09 لذة الاكل 10/10 النظافة 10/10 الجلسة 10/10 الخدمة 10/10 السعر $$$/$$$$$ مقولة جدا,مطعم,ambiance,positive,5
1590,المكان لطيف والجلسات جميله وهادئه والموظفين رائعين لاكن الطعام كان اقل من عادي اتمني لكم التوفيق,مطعم,food,neutral,3
1590,المكان لطيف والجلسات جميله وهادئه والموظفين رائعين لاكن الطعام كان اقل من عادي اتمني لكم التوفيق,مطعم,service,neutral,3
1590,المكان لطيف والجلسات جميله وهادئه والموظفين رائعين لاكن الطعام كان اقل من عادي اتمني لكم التوفيق,مطعم,ambiance,neutral,3
6525,مفيش كباتن بيضيع وقتنا والاخر محدش بييجي,transport,general,negative,1
2639,انا طلبت النهارده كانت سيء جدا شندوتش الطعميه الطماطم شيلو عنق الطماطم بطلوا عفانه بقي سندوتش فيه طماطم والتاني لا اهتموا بالنظافه يا جماعه بطلوا عفانه,مطعم فلافل,food,negative,1
2639,انا طلبت النهارده كانت سيء جدا شندوتش الطعميه الطماطم شيلو عنق الطماطم بطلوا عفانه بقي سندوتش فيه طماطم والتاني لا اهتموا بالنظافه يا جماعه بطلوا عفانه,مطعم فلافل,delivery,negative,1
7196,الي الان افضل تطبيق طلبت منو من حيث سرعه التوصيل وجوده المنتجات,ecommerce,delivery,positive,5
7196,الي الان افضل تطبيق طلبت منو من حيث سرعه التوصيل وجوده المنتجات,ecommerce,ambiance,positive,5
7196,الي الان افضل تطبيق طلبت منو من حيث سرعه التوصيل وجوده المنتجات,ecommerce,app_experience,positive,5
1415,الاسعار غاليه جدا جدا جدا بصراحة كثيرا اووي,مقهى,price,negative,2
1765,الاكل جميل و المكان ممتاز و الاسطاف زوق,مطعم مأكولات مشوية,food,positive,5
1765,الاكل جميل و المكان ممتاز و الاسطاف زوق,مطعم مأكولات مشوية,ambiance,positive,5
7612,كان زمان كويس حاليا منتجات فرز تاني و عيوب كتير و التوصيل بعد اسبوع او اكتر و مناديب التوصيل منتهي قلة الذوق و خدمة عملاء سيئة جدا نون و امازون افضل ميت مره,ecommerce,food,negative,1
7612,كان زمان كويس حاليا منتجات فرز تاني و عيوب كتير و التوصيل بعد اسبوع او اكتر و مناديب التوصيل منتهي قلة الذوق و خدمة عملاء سيئة جدا نون و امازون افضل ميت مره,ecommerce,service,negative,1
7612,كان زمان كويس حاليا منتجات فرز تاني و عيوب كتير و التوصيل بعد اسبوع او اكتر و مناديب التوصيل منتهي قلة الذوق و خدمة عملاء سيئة جدا نون و امازون افضل ميت مره,ecommerce,delivery,negative,1
9236,زوين بزاف بزاف عزيز عليا,entertainment,general,positive,5
9763,ممتاز بوكنج يساعدني كثير,travel,general,positive,5
861,‏من افضل المطاعم اللي افطرت واكلت فيها بحي زهرة المعادي ونشكر الخ الحبيبي مصطفي علي حسن الضيافة والاستقبال والكرام الغير مستغرب من اخواننا حبايبنا,مطعم مأكولات لبنانية,food,positive,5
861,‏من افضل المطاعم اللي افطرت واكلت فيها بحي زهرة المعادي ونشكر الخ الحبيبي مصطفي علي حسن الضيافة والاستقبال والكرام الغير مستغرب من اخواننا حبايبنا,مطعم مأكولات لبنانية,service,positive,5
1881,مطعم سوري كويس يعتبر الافضل في المنطقة,مطعم مأكولات سورية,food,positive,4
3182,خدمه سيئة النت يقول لك مجاني وهو ما يشتغل ونكلمهم يصرفونا اخلاق سيئه وكذب من الموضفين,فندق,general,negative,2
6708,للاسف حاليا اكو انحدار بمستوي الكباتن ... سابقا كان الكباتن محترمين واسلوبهم مؤدب حاليا لا كثير منهم يسوق ويتكلم بالهاتف بنفس الوقت وبشكل مزعج ومشغل الاغاني بصوت عالي ولمن تطلب منه يطفي الراديو او يترك الهاتف اثناء السياقه ينزعج وينهي الرحلة وينزل الزبون ... يا ريت تنبهون الكباتن انو يكونون محترمين بالتعامل مع الزبون,transport,service,negative,2
6708,للاسف حاليا اكو انحدار بمستوي الكباتن ... سابقا كان الكباتن محترمين واسلوبهم مؤدب حاليا لا كثير منهم يسوق ويتكلم بالهاتف بنفس الوقت وبشكل مزعج ومشغل الاغاني بصوت عالي ولمن تطلب منه يطفي الراديو او يترك الهاتف اثناء السياقه ينزعج وينهي الرحلة وينزل الزبون ... يا ريت تنبهون الكباتن انو يكونون محترمين بالتعامل مع الزبون,transport,delivery,negative,2
2980,المكان overpriced بطريقة مش مستاهلة خالص يعني overpriced بشكل ملحوظ و المكان عادي جدا اقل من العادي ف كل حاجة مش حاجة واو او premium مثلا … منصحش حد بيه,مطعم,price,negative,1
2980,المكان overpriced بطريقة مش مستاهلة خالص يعني overpriced بشكل ملحوظ و المكان عادي جدا اقل من العادي ف كل حاجة مش حاجة واو او premium مثلا … منصحش حد بيه,مطعم,ambiance,negative,1
8633,الصراحه هو تطبيق حلو وكل حاجه بس لو رجع زي زمان زمان كان تقدر ترجع وتسرع برحتك في الاغنية وكمان ممكن تحمل الاغنية الي انت عاوزها,entertainment,food,neutral,3
8633,الصراحه هو تطبيق حلو وكل حاجه بس لو رجع زي زمان زمان كان تقدر ترجع وتسرع برحتك في الاغنية وكمان ممكن تحمل الاغنية الي انت عاوزها,entertainment,app_experience,neutral,3
880,المطعم كويس جدا والاكل طعمه حلو والخدمة ممتازة. حابة اشكر الوايتر حسام تحديدا، كان ذوق جدا وهادئ ومحترم، وطريقته في الكلام لطيفة وخلت التجربة احلي. اكيد هكرر الزيارة,مطعم مأكولات لبنانية,food,positive,5
880,المطعم كويس جدا والاكل طعمه حلو والخدمة ممتازة. حابة اشكر الوايتر حسام تحديدا، كان ذوق جدا وهادئ ومحترم، وطريقته في الكلام لطيفة وخلت التجربة احلي. اكيد هكرر الزيارة,مطعم مأكولات لبنانية,service,positive,5
6034,البوتيك حلو يستحق الزياره بس موقعه غلط هو قدام مطعم ذا مود يارب تنتبهون,متجر ملابس حريمي,food,neutral,3
6034,البوتيك حلو يستحق الزياره بس موقعه غلط هو قدام مطعم ذا مود يارب تنتبهون,متجر ملابس حريمي,app_experience,neutral,3
7694,امازن شركه زباله شغاله في الشعبي ويضحك عليكي باسعار عاليه شركه زباله جدا,ecommerce,price,negative,1
9511,اكثر من رائع,travel,general,positive,5
7903,خدمة متستاهلش ربع نجمة طالب الطلب اتلغي مرتين و هرجع انام جنب الفلوس اللي هي مبلغ مش قليل علي ما ترجع تاني حاجة قمة السوء,ecommerce,service,negative,1
7903,خدمة متستاهلش ربع نجمة طالب الطلب اتلغي مرتين و هرجع انام جنب الفلوس اللي هي مبلغ مش قليل علي ما ترجع تاني حاجة قمة السوء,ecommerce,price,negative,1
7903,خدمة متستاهلش ربع نجمة طالب الطلب اتلغي مرتين و هرجع انام جنب الفلوس اللي هي مبلغ مش قليل علي ما ترجع تاني حاجة قمة السوء,ecommerce,delivery,negative,1
3956,عياده جميله اداء الدكتور فادي كان جميل تنظيف الجير كان تجربه جميله و سريعه,عِيادة أسنان,cleanliness,positive,5
6472,بجد حاجه سيئه جدا,food_delivery,general,negative,1
2521,الشيشة حلوة قوي وفتحي مش بيتاخر في الولعة,كافيه,food,positive,4
6952,كابتن محترم,transport,service,positive,5
9102,كل شيء مع الوقت سيصبح يجب دفع ثمن و التطبيق بدا يحاصر راحة المستمع,entertainment,app_experience,negative,1
3244,والله لن اسامح ان اسامح ما فعلتم بطفلي اخذتوه ليس به شيء داخل غرفة العمليات ذبحتوه غير انه يوجد فتح في بطنه غير مبرر ما هو السبب وماهي الج ر يمه الطبيه وراء ذلك,مستشفى متخصص,general,negative,1
8903,تطبيق زفت كل ما اضغط علي اغنيه يجيب اغنيه تانيه,entertainment,app_experience,negative,1
2840,ممتاز,فندق,general,positive,5
6447,التوصيل بيجي متاخر جدا جدا انا طالب اوردر الساعه 3 جاي 5,food_delivery,delivery,negative,1
5896,شغل نظيف ومرتب مرا مشاءلله حلو مرا نفس الي ابيه بالضبط,صالون تجميل,food,positive,5
5896,شغل نظيف ومرتب مرا مشاءلله حلو مرا نفس الي ابيه بالضبط,صالون تجميل,cleanliness,positive,5
7616,جوميا الاسوا في السوق وغير مهيات للسوق المصري متاخرين جدن ولا انصح بجوميا اي احد تجربتي كانة سيا جدن اهضار الوقة ومجهود ولا يجد دعم حقيقي,ecommerce,ambiance,negative,1
599,كوستا كوفي من افضل محلات القهوة المكان ضيق وهو في موقع مهم وزحمة .,كافيه,ambiance,neutral,3
599,كوستا كوفي من افضل محلات القهوة المكان ضيق وهو في موقع مهم وزحمة .,كافيه,app_experience,neutral,3
6206,بجد اشطر دكتور اسنان و عن تجربة ❤️❤️❤️,عِيادة أسنان,general,positive,5
1307,الاكل فوق الروعة وكان كلو فريش وسخن والسعر مقابل الجودة رائع جدا و صاحب المطعم قمة في الزوق في التعامل والاهتمام بالعميل حقيقيالناس اللي معايا كانت مبسوطة جدا وان شاء الله لينا زيارات كتير للمطعم,مطعم مأكولات مشوية,food,positive,5
1307,الاكل فوق الروعة وكان كلو فريش وسخن والسعر مقابل الجودة رائع جدا و صاحب المطعم قمة في الزوق في التعامل والاهتمام بالعميل حقيقيالناس اللي معايا كانت مبسوطة جدا وان شاء الله لينا زيارات كتير للمطعم,مطعم مأكولات مشوية,service,positive,5
1307,الاكل فوق الروعة وكان كلو فريش وسخن والسعر مقابل الجودة رائع جدا و صاحب المطعم قمة في الزوق في التعامل والاهتمام بالعميل حقيقيالناس اللي معايا كانت مبسوطة جدا وان شاء الله لينا زيارات كتير للمطعم,مطعم مأكولات مشوية,price,positive,5
1307,الاكل فوق الروعة وكان كلو فريش وسخن والسعر مقابل الجودة رائع جدا و صاحب المطعم قمة في الزوق في التعامل والاهتمام بالعميل حقيقيالناس اللي معايا كانت مبسوطة جدا وان شاء الله لينا زيارات كتير للمطعم,مطعم مأكولات مشوية,cleanliness,positive,5
1307,الاكل فوق الروعة وكان كلو فريش وسخن والسعر مقابل الجودة رائع جدا و صاحب المطعم قمة في الزوق في التعامل والاهتمام بالعميل حقيقيالناس اللي معايا كانت مبسوطة جدا وان شاء الله لينا زيارات كتير للمطعم,مطعم مأكولات مشوية,ambiance,positive,5
8407,اعلانات وسيء,real_estate,general,negative,1
2637,حاطين طوب في السندوتشات؟ حسبي الله و نعم الوكيل,مطعم فلافل,general,negative,2
7108,والله مره حلو,ecommerce,food,positive,5
2644,المحل كان علم من اعلام التجمع ، كنت بفطر عندهم لمده ثلاث سنوات ، كنت انتظر الاوردر لمده 15 دقيقه من كتر الزحام ، و لكن للاسف المستوي انحدر و المحل اصبح فاضي ، ارجو معالجه الاخطاء لان المنافسه اصبحت للافضل,مطعم فلافل,delivery,negative,1
2644,المحل كان علم من اعلام التجمع ، كنت بفطر عندهم لمده ثلاث سنوات ، كنت انتظر الاوردر لمده 15 دقيقه من كتر الزحام ، و لكن للاسف المستوي انحدر و المحل اصبح فاضي ، ارجو معالجه الاخطاء لان المنافسه اصبحت للافضل,مطعم فلافل,ambiance,negative,1
6549,سيئ في نصب علي الكباتن حرام,transport,general,negative,1
1712,الموسيقي غير مناسبة للمكان وصاحبة جدا الستاف لطيف والاكل جيد والحمام نضيف والاسعار مناسبة الي حد ما حبيت المكان,مقهى,food,positive,4
1712,الموسيقي غير مناسبة للمكان وصاحبة جدا الستاف لطيف والاكل جيد والحمام نضيف والاسعار مناسبة الي حد ما حبيت المكان,مقهى,price,positive,4
1712,الموسيقي غير مناسبة للمكان وصاحبة جدا الستاف لطيف والاكل جيد والحمام نضيف والاسعار مناسبة الي حد ما حبيت المكان,مقهى,cleanliness,positive,4
1712,الموسيقي غير مناسبة للمكان وصاحبة جدا الستاف لطيف والاكل جيد والحمام نضيف والاسعار مناسبة الي حد ما حبيت المكان,مقهى,ambiance,positive,4
5584,اشطر دكتور و ايده خفيفة ماشاء اللـه واخلاقة كثير عالية ومتعاون جدا,عِيادة أسنان,general,positive,5
2355,من احلي واروع و ارقي المطاعم في التجمع اكل ممتاز منيو مميز قمة النظافة طاقم عمل بشوش و محترف و مرحب يحببك في المكان اكثر ما انت اصلا حبو كل ماباجي اروح منو مبسوطة اتمنالك بجد كل التوفيق و يا رب تفضلو ديما بنفس المستوي,مطعم مأكولات تركية,food,positive,5
2355,من احلي واروع و ارقي المطاعم في التجمع اكل ممتاز منيو مميز قمة النظافة طاقم عمل بشوش و محترف و مرحب يحببك في المكان اكثر ما انت اصلا حبو كل ماباجي اروح منو مبسوطة اتمنالك بجد كل التوفيق و يا رب تفضلو ديما بنفس المستوي,مطعم مأكولات تركية,service,positive,5
2355,من احلي واروع و ارقي المطاعم في التجمع اكل ممتاز منيو مميز قمة النظافة طاقم عمل بشوش و محترف و مرحب يحببك في المكان اكثر ما انت اصلا حبو كل ماباجي اروح منو مبسوطة اتمنالك بجد كل التوفيق و يا رب تفضلو ديما بنفس المستوي,مطعم مأكولات تركية,cleanliness,positive,5
2355,من احلي واروع و ارقي المطاعم في التجمع اكل ممتاز منيو مميز قمة النظافة طاقم عمل بشوش و محترف و مرحب يحببك في المكان اكثر ما انت اصلا حبو كل ماباجي اروح منو مبسوطة اتمنالك بجد كل التوفيق و يا رب تفضلو ديما بنفس المستوي,مطعم مأكولات تركية,ambiance,positive,5
9902,زفت واي تطبيق يفرض اعلان مكره احتقره بشده ولا حتا نجمه,travel,app_experience,negative,1
8585,موقع متخلف وطريقة اضافة اعلان اكثر تخلفا ولا انصح يتثبيته مطلقا كما انه موقع اعلان مدفوع ولا يوجد به اعلانات مجانيه,real_estate,app_experience,negative,1
